id,Date,NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,City,Notes
2011176,12/1/2010,1,N,N,L,M,57,Traffic,>/=1,1,W,M,Charlotte-Mecklenburg Police Department,"The officer initiated a trafFic stop and the driver of the other vehicle ran into the officer¿s car and fled the scene. After a brief pursuit, the officer followed the suspect vehicle to a dead-end street. The officer exited his patrol car and believed the individual was going to exit his truck and flee on foot. The individual drove his truck in the direction of the officer. The officer his service weapon at the individual.",CharlotteMecklenburg,Car as weapon. No hit
2199756,NA,1,N,Y,B,F,U,Off-duty,NA,2,B;B,M;M,Louisville Metro Police Department,"Officers were working in an off-duty capacity at ""Cole's Place"" bar. While dispersing the crowd at the end of the night, the officers were fired upon and struck with what appeared to be bird shot from a shotgun. Both officers suffered minor injuries. No positive identificatin was able to be made on the shooter(s). Without further evidence to proceed with the investigation, the case was closed, to be re-opened if new information is developed.",Louisville,NA
3654951,NA,1,N,NA,B,U,U,NA,NA,2,W;W,M:M,Columbus Police Department,"Mr. Satterwhite suffered multiple gunshot wounds from 00 buckshot. (Right arm, right torso, left arm).",Columbus,"Shooting, non-fatal"
1748572,7/5/1905,1,N,NA,U,U,U,NA,NA,NA,U,U,Cleveland Police Department,NA,Cleveland,NA
431444,NA,1,N,N,U,M,23,traffic stop,NA,1,NA,M,Miami-Dade Police Department,NA,MiamiDade,car
4166768,2/6/2013,1,N,Y,B,U,U,NA,NA,1,L,M,Houston Police Department,"An HPD officer was chasing a stolen vehicle, suspect evaded, and one of the suspects pointed a rifle at the officer.  The officer, in fear of his life, shot and missed the suspect.  Suspect arrested and charged.",Houston,NO HITS
474738,3/1/2014,1,N,Y,B,M,26,Investigation; robbery,>/=1,1,B,M,Charlotte-Mecklenburg Police Department,"officers were conducting an investigation on Jordan's Pond Lane. During the pre-arranged investigation the individual robbed an officer. The individual then jumped into a vehicle and began to leave the neighborhood. Additional officers attempted to stop the vehicle, at which time the vehicle stopped and the individual exited the vehicle and fired shots at officers. An officer returned fire. The individual continued to run away from the scene.",CharlotteMecklenburg,. No hit
3856192,NA,1,F,U,B,M,32,Traffic stop,NA,1,NA,U,Jacksonville Police Department,"Thomas McMullen was killed after a brief car chase and a foot pursuit. At about 11 a.m. police responded to a shots-fired call at the Cleveland Arms apartments at 5020 Cleveland Road and located a Buick on West 45th Street that matched one described in several 911 calls. Two officers stopped the vehicle at Paris Avenue and Morehouse Road. Police said that the passenger ran, and officers saw a handgun in his waistband. The officers said they chased the man until he tried to escape under a barber shop. K-9 Officer T.E. Stafford sent in the police dog in after he said McMullen failed to obey multiple commands to surrender. Stafford then fired five times, saying the man reached to his waist and thinking he still had the gun. McMullen was hit three times. He did not have a gun, but police said one was found along the chase path.",Jacksonville,NA
345653,7/3/1905,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
4793992,NA,1,N,N,U,M,U,NA,NA,2,U,M;M,Metropolitan Police Department,NA,Washington DC,Victim armed with car.
2830174,7/5/1905,1,N,N,U,M,U,NA,2,2,U,U,New York Police Department,NA,New York,NO HITS; VEHICLE
1885241,NA,1,F,Y,L,U,U,NA,8,2,L;L,M;F,Chicago Police Department,NA,Chicago,https://chicago.suntimes.com/news/mother-of-man-shot-dead-by-cpd-officers-in-pilsen-files-lawsuit/
253406,4/1/2011,1,N,U,B,U,U,NA,5,1,A,M,Chicago Police Department,NA,Chicago,NA
402250,NA,1,N,N,B,M,34,NA,NA,1,B,M,Houston Police Department,Officers responded to a family violence call. When officers entered the residence the suspect ran to the front of the house spun around in a shooting position pointing something black at the officers. One officer discharged his weapon striking the suspect in the chest. The suspect was transported to Ben Taub.,Houston,NA
4063976,NA,1,N,Y,U,M,U,Call For Service,NA,2,U,U,Philadelphia Police Department,"On 9/16/12, at approximately 3:02 A.M., officers were stopped by a witness at Frankford Avenue and Pratt Street who indicated that a male was armed with a handgun and had robbed the complainant. The officers observed the offender and pursued him to the 1600 block of Granite Street. The offender pointed his firearm at the pursuing officers and both officers discharged their firearms at the offender. The offender threw his weapon into a yard and was apprehended without further incident. The offender was treated at Temple University Hospital. The offender’s weapon, a 9mm semi automatic pistol, loaded with ten rounds, was recovered.",Philadelphia,NA
3571784,NA,1,N,Y,U,M,U,NA,NA,2,U,M;M,Metropolitan Police Department,NA,Washington DC,No hits.
378485,NA,1,N,U,B,M,20-29,NA,3,1,B,M,Chicago Police Department,NA,Chicago,NA
3750396,NA,1,F,NA,B,U,U,NA,NA,1,B,U,Baltimore Police Department,NA,BaltimoreCity,NA
679648,NA,1,N,Y,U,U,U,Property Damage,NA,2,NA,M;M,St. Louis Metro Police Department,NA,St. Louis,Handgun
1241423,NA,1,N,Y,W,M,32,Call for Service,not clear,1,W,M,Denver Police Department,http://www.denverda.org/News_Release/Decision_Letters/2013HeimbignerLet.pdf,Denver,NA
1814049,5/9/2011,1,N,U,B,M,0-19,NA,NA,1,B,M,Chicago Police Department,NA,Chicago,Firearm Discharge - No Hits
2560478,NA,1,F,U,B,M,U,NA,NA,1,W,M,Indianapolis Metro Police Department,NA,Indianapolis,NA
1613516,8/2/2013,1,N,N,L,U,U,Warrants,8,3,U;U;U,M;M;M,Las Vegas Metropolitan Police Department,https://www.lvmpd.com/en-us/InternalOversightConstitutionalPolicing/Documents/Fatal%20OIS/FIT_Report_130208-1694_Torres.pdf,LasVegas,NA
916981,NA,1,F,Y,W,M,34,Mental crisis / suicide attempt,NA,1,H,M,San Antonio Police Department,NA,San Antonio,NA
4302180,7/6/1905,1,N,U,U,U,U,NA,NA,NA,NA,U,Memphis Police Department,NA,Memphis,NA
2977965,NA,1,N,NA,W,U,U,NA,NA,3,W;W;B,U,Baltimore Police Department,NA,BaltimoreCity,NA
1691266,NA,1,N,Y,L,M,30,Suspicious behavior,5,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2011/OIS_2011_313491Y.pdf,Dallas,NO HITS
4068887,NA,1,N,N,U,M,U,Call For Service,NA,2,U,U,Philadelphia Police Department,"On 3/17/13, at approximately 8:58 P.M., two uniformed officers responded to a radio assignment to enforce commitment papers in the 1900 block of Ashley Street. Upon arrival, family members indicated that they had mental health commitment paperwork for a male who resided there. The family members informed the officers that the male was upstairs and had access to a bat, but not to guns or knives. The officers ascended the stairs and observed the offender in front of his bedroom door, armed with a pair of scissors. The offender turned and ran into his bedroom. The officers yelled for him to drop the scissors and come out of the room. The offender exited the room, armed with two pair of scissors and a baseball bat and threatened to hurt the officers. The officers ordered the offender to drop the weapons. The offender advanced towards the officers with the bat and scissors. One officer discharged his weapon striking the offender, who fell to the ground. The offender got back up, still armed, at which time the officer again discharged his weapon at the offender. The offender was placed in custody and transported to Albert Einstein Medical Center. The scissors and bat were recovered at the scene.",Philadelphia,Club; scissors
1844821,NA,1,F,U,B,M,16,NA,3,1,B,M,Chicago Police Department,NA,Chicago,JERRY MOORE
1996536,NA,1,N,Y,W,M,44,NA,NA,2,W;W,M;F,Houston Police Department,The officers were looking for a possible burglary suspect when an armed male walked out of a building. The suspect did not drop his weapon when ordered to do so causing the officers to shoot at the suspect.,Houston,NA
4007767,NA,1,U,N,B,U,U,NA,NA,1,L,M,Houston Police Department,"Officer responded to a BMV in progress and observed 2 suspects behind the complainant's vehicle with tires removed.  The officer gave verbal commands to suspects who ignored and got into their vehicle drove toward officer.  Fearing for his life, officer discharged his weapon.  1 suspect arrested, 1 fled the scene.",Houston,Both victims marked as armed with one vehicle.
2264817,NA,1,N,Y,U,U,U,NA,NA,1,W,M,Houston Police Department,"An off-duty HPD officer entered the bank in Humble, was forced to the floor, and disarmed at gunpoint.  The officer's partner was outside, observed the robbers exit, demanded their surrender, and killed one suspect after a shotgun was aimed at the officer.",Houston,Officer off-duty.
2634180,NA,1,N,NA,U,U,U,NA,NA,1,W,M,DeKalb County Police Department,NA,DekalbCounty,NO HITS
1624929,NA,1,U,Y,L,M,36,NA,NA,1,L,M,Houston Police Department,A uniformed off duty officer was driving on the freeway when someone shot at him.  The officer saw the suspect's vehicle and followed it down a dead-end street. The suspect made a u-turn at which time the officer stopped and got out of his vehicle in an attempt to stop the driver.  As the suspect vehicle approached the officer; a passenger in the car started shooting at him again causing the officer to return fire. The vehicle then fled the scene.,Houston,Officer off-duty.
4220216,7/9/2016,1,N,Y,U,M,U,NA,NA,1,U,M,Metropolitan Police Department,NA,Washington DC,NA
2649287,7/6/1905,1,N,NA,U,U,U,NA,NA,NA,U,U,Cleveland Police Department,NA,Cleveland,NA
